"id";"bezirk";"name";"strasse";"plz_ort";"veranstalter";"von";"bis";"oeffnungszeiten";"email";"w3";"bemerkungen";"lat";"lng"
"116";"Steglitz-Zehlendorf";"Weihnachtsmarkt auf dem Ferdinandmarkt";"Ferdinandstr. 34-35";"12209 Berlin";"Müller-Degenhardt & Degenhardt Marktstandvermietung GbR
Tel.: 824 20 45, Fax: 824 20 47";"2015-11-29";"2015-11-29";"11:00-19:00";"mailto:info@gv-degenhardt.de";"www.gv-degenhardt.de";"";"52,428165";"13,328123"
"118";"Steglitz-Zehlendorf";"Advent-Künstlerstation am Bahnhof Mexikoplatz";"Platz vor dem Bahnhof Mexikoplatz";"14163 Berlin";"Martin, Ramona, Tel.: 802 87 79";"2015-11-29";"2015-12-20";"11:00-19:00";"";"";"NUR an den Adventssonntagen";"52,437584";"13,232588"
"120";"Steglitz-Zehlendorf";"Märchenhafter Weihnachtsmarkt im Grunewald";"Hüttenweg 100 (am Grunewaldsee), Jagdschloss Grunewald";"14193 Berlin";"Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg, Abt. Schlossmanagement
Kontakt: Jagdschloss Grunewald
Tel.: 813 35 97
";"2015-12-05";"2015-12-06";"11:00-19:00";"mailto:schloss-grunewald@spsg.de";"www.spsg.de";"Eintritt 3 €/ 2 € erm., inkl. Besichtigung im Schloss und Jagdzeugmagazin, Kinder unter 6 Jahren haben freien Eintritt";"52,467266";"13,261708"
"122";"Steglitz-Zehlendorf";"Adventsbasar im Gemeindehaus St. Michael";"Hohenzollernstr. 28";"14109 Berlin";"Katholische Kirchengemeinde Zu den hl. Zwölf Aposteln Berlin
Tel.: 805 86 29 70";"2015-11-21";"2015-11-22";"Sa 15:00-19:30
So 09:00-15:00";"mailto:pfarrbuero@hl-12-apostel.de";"www.hl-12-apostel.de";"";"52,41781";"13,150609"
"124";"Steglitz-Zehlendorf";"Großer Adventsbasar im Gemeindehaus";"Kirchweg 6";"14129 Berlin";"Evangelische Kirchengemeinde Nikolassee 
Tel.: 80 19 76 30";"2015-11-28";"2015-11-28";"11:00-18:00";"mailto:webmaster@gemeinde-nikolassee.de";"www.gemeinde-nikolassee.de";"";"52,425202";"13,20455"
"126";"Steglitz-Zehlendorf";"Weihnachtsmarkt der Wilhelmplatz-Initiative und der Ev. Kirchengemeinde Wannsee";"Kirche am Stölpchensee, Auf dem Wilhelmplatz";"14109 Berlin";"Evangelische Kirchengemeinde Berlin-Wannsee
Tel.: 805 16 50";"2015-11-29";"2015-11-29";"13:00-18:00";"mailto:KGWannsee@freenet.de";"www.wannseebote.ekbo.de";"";"52,412281";"13,141813"
"128";"Steglitz-Zehlendorf";"Das Weihnachtshaus in der Villa Donnersmarck";"Schädestr. 9-13";"14165 Berlin";"Villa Donnersmarck/Fürst-Donnersmarck-Stiftung
Tel.: 84 71 87 0, Fax: 84 71 87 23";"2015-12-13";"2015-12-13";"15:00-19:00";"mailto:villadonnersmarck@fdst.de";"www.villadonnersmarck.de";"";"52,42718";"13,25836"
"130";"Tempelhof-Schöneberg";"Adventsmarkt in der Lokhalle";"Lokhalle im Natur-Park Schöneberger Südgelände, S-Bahnhof Priesterweg";"12157 Berlin";"Grün Berlin GmbH
Tel.: 70 09 06 24, Fax: 700 90 69 24";"2015-11-29";"2015-12-06";"12:00-18:00";"mailto:info@suedgelaende.de";"www.gruen-berlin.de";"NUR an den Sonntagen";"52,459078";"13,358147"
"132";"Tempelhof-Schöneberg";"21. Weihnachtsmarkt auf Lehmanns Bauernhof am Zweiten Advent";"Alt-Marienfelde 35-37";"12277 Berlin";"Lehmanns Bauernmarkt
Tel.: 72 01 41 50, 0179/958 05 15,
Fax: 72 01 41 49";"2015-12-04";"2015-12-13";"Fr 14:00-20:00
Sa-So 12:00-20:00";"mailto:Lehmanns-Bauernmarkt@gmx.de";"www.lehmanns-bauernmarkt.de";"jeweils Freitag bis Sonntag";"52,411971";"13,366999"
"134";"Tempelhof-Schöneberg";"39. Lichtenrader Lichtermarkt";"Alt-Lichtenrade, rund um den Dorfteich (Giebel-Pfuhl)";"12305 Berlin";"BA Tempelhof-Schöneberg
Ansprechpartnerin: Frau Barnekow
Tel.: 902 77 23 01,
Fax: 902 77 22 20       ";"2015-11-29";"2015-11-29";"13:00-19:00";"";"";"";"52,40523";"13,399936"
"136";"Tempelhof-Schöneberg";"31. Marienfelder Weihnachtsmarkt des TSV Marienfelde 1890 e. V.";"Alte Feuerwache, Alt-Marienfelde 36";"12277 Berlin";"TSV Marienfelde 1890 e. V.
Tel.: 722 45 46, Fax: 74 30 59 65";"2015-12-05";"2015-12-06";"12:00-19:00";"mailto:sport@tsv-marienfelde.de";"www.tsv-marienfelde.de";"mit Beteiligung der
Marienfelder Kyffhäuser";"52,41275";"13,36764"
"138";"Tempelhof-Schöneberg";"9. Friedenauer Engelmarkt";"Breslauer Platz am Rathaus Friedenau";"12159 Berlin";"Friedenau-Netzwerk
Magrit Knapp
Tel.: 852 33 56";"2015-12-06";"2015-12-06";"13:00-18:00";"mailto:Magrit.knapp@friedenau-netzwerk.de";"www.friedenau-netzwerk.de";"";"52,472222";"13,335556"
"140";"Tempelhof-Schöneberg";"Weihnachtsmarkt Marienfelder Dorfkirche";"Rund um die Dorfkirche Marienfelde, Alt-Marienfelde";"12277 Berlin";"Evangelische Kirchengemeinde Marienfelde in Kooperation mit Christoph Wolff und Christopher Benn, Tel.: 75 51 22 00, Fax: 755 12 20 10";"2015-12-04";"2015-12-06";"Fr 14:00-20:00
Sa, So 12:00-20:00";"mailto:kuesterei@marienfelde-evangelisch.de";"www.marienfelde-evangelisch.de";"";"52,41293";"13,347901"
"142";"Tempelhof-Schöneberg";"Lichtenrader Weihnachtsmarkt";"Bahnhofstraße, Berlin-Lichtenrade";"12307 Berlin";"Jüttner Entertainment Christian Jüttner, Tel.: 52 64 66 89 und 0152/33 90 83 98, Fax: 52 64 66 90";"2015-11-28";"2015-11-29";"Sa 12:00-22:00
So 12:00-20:00";"mailto:info@juettner-entertainment.de";"www.jüttner-entertainment.de";"ch.juettner@web.de";"52,386675";"13,402335"
"158";"Tempelhof-Schöneberg";"Adventsbasar des Kinderhile e. V.";"Philippus-Nathanael-Gemeindehaus, Grazer Platz 4";"12157 Berlin";"Kinderhilfe e. V., Tel.: 857 47 83 60, Fax: 27 49 82 98";"2015-11-29";"2015-11-29";"10:00-17:00";"info@kinderhilfe-ev.de";"www.kinderhilfe-ev.de";"";"52,466701";"13,345071"
"144";"Treptow-Köpenick";"Weihnachtsmarkt in den Späth'schen Baumschulen
Lichterglanz im Tannenwald - präsentiert von radioBERLIN 88,8";"Späthstr. 80/81";"12437 Berlin";"Späth'sche Baumschulen Handel GmbH
Tel.: 63  90 03 32";"2015-12-05";"2015-12-13";"11:00-20:00";"mailto:info@spaethsche-baumschulen.de";"www.spaethsche-baumschulen.de";"am 2. und 3. Adventswochenende";"52,45434";"13,47371"
"146";"Treptow-Köpenick";"Köpenick, die Weihnachtsinsel";"Schlossinsel Köpenick, Schlossplatz Köpenick";"12555 Berlin";"Bezirksamt Treptow-Köpenick von Berlin
Tel.: 902 97 27 60, Fax: 902 97 28 50, Herr Lemaitre, Tel.: 0173/617 25 51, Fax: 61 67 40 09";"2015-12-11";"2015-12-13";"Fr 14:00-21:00
Sa 12:00-21:00
So 12:00-20:00";"mailto:veranstaltungen@ba-tk.berlin.de";"www.berlin.de/ba-treptow-koepenick/aktuelles/koepenickerweihnachtsinsel.html";"";"52,444676";"13,574498"
"148";"Treptow-Köpenick";"Weihnachtsmarkt Friedrichshagen Bölschestraße";"Marktplatz Bölschestraße";"12587 Berlin";"Wolfgang Hirche,
15370 Vogelsdorf
Tel.: 033439/779 79, 0172/309 49 77,
Fax: 033439/779 80";"2015-12-19";"2015-12-20";"Sa 09:00-22:00
So 11:00-20:00";"mailto:Markt-Hirche@web.de";"";"";"52,451915";"13,624878"
"150";"Treptow-Köpenick";"Lichtermarkt an der Christuskirche";"Firlstr. 16";"12459 Berlin";"Evangelische Kirchengemeinde Berlin-Oberschöneweide, Tel.: 535 31 55 Ansprechpartner: Herr Noak   
Tel.: 97 60 14 17";"2015-11-28";"2015-11-28";"14:00-18:00";"mailto:gemeinde@ev-kirche-oberschoeneweide.de";"www.ev-kirche-oberschoeneweide.de";" 14:00 Eröffnung mit Bläserensemble Köpenick, 15:00 Basteln im Musikzimmer der Kirche,  18:00 Adventskonzert mit dem Köpenicker Chor ""Sing! Sing!""
Basteln und Kaffee in der Grundschule an der Wuhlheide";"52,46309";"13,52339"
"152";"Treptow-Köpenick";"Müggelheimer Weihnachtsmarkt mit altem Handwerk und Markt";"westl. Seite Dorfanger Müggelheim und Dorfklub ""Alte Schule""";"12559 Berlin";"Müggelheimer Heimatverein e. V.
Tel.: 659 86 13";"2015-11-28";"2015-11-28";"10:00-20:00";"mailto:Mueggelheimer-heimatverein@gmx.de";"www.mueggelheimer-heimatverein.de";"";"52,411639";"13,662379"
"154";"Treptow-Köpenick";"6. Altglienicker Advents-Markt";"Rund um die Pfarrkirche, Semmelweisstr. 2";"12524 Berlin";"Evangelische Kirchengemeinde
Altglienicke
Tel.: 672 83 81 und
Bürgerverein Altglienicke e. V.";"2015-11-29";"2015-11-29";"14:00-19:00";"mailto:buergerverein@altglienicke.de";"www.altglienicke.de";"";"52,42191";"13,5393"
